SORBI_3004G139300,CYP71AM1,Sb04g016970
SORBI_3004G260600,DES2,Sb04g029900
SORBI_3005G002700,DES3/SOR1,Sb05g000390
SORBI_3005G224400,OMT2,Sb05g027340
SORBI_3006G007900,OMT3,Sb06g000820
SORBI_3007G058400,OMT1,Sb07g004660
SORBI_3008G002800,DES1,Sb08g000430
SORBI_3010G204200,CYP71AF1,Sb10g025160
SORBI_3005G164200,ARS1,Sb05g022510
SORBI_3005G164300,ARS1,Sb05g022510
SORBI_3008G036800,ARS2,Sb08g003170
SORBI_3005G136450,CHS2,Sb05g020190
SORBI_3007G058900,CHS8/STS1,Sb07g004700
SORBI_3002G310600,0_1848,Sb02g034030
SORBI_3007G047300,COMT,Sb07g003860
SORBI_3005G136200,CHS5,Sb05g020150
SORBI_3005G137000,CHS1,Sb05g020200
